"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 22-Jun-2022","30 D % CHNG 
 23-May-2023"
"NIFTY 50","18,741.85","18,756.40","18,647.10","18,771.25","18,665.50","-105.75","-0.56","210,562,119","206,194,741,909.89","18,887.60","15,511.05","19.98","2.08"
"INDUSINDBK","1,272.70","1,318.00","1,262.00","1,272.70","1,309.40","36.70","2.88","4,636,121","6,014,486,134.51","1,342.90","763.20","66.72","2.91"
"DRREDDY","4,901.00","5,015.00","4,901.00","4,899.45","4,992.95","93.50","1.91","558,228","2,777,184,300.00","5,024.00","3,997.00","16.28","10.50"
"ASIANPAINT","3,265.00","3,304.15","3,253.05","3,248.05","3,297.00","48.95","1.51","1,260,659","4,143,080,163.96","3,582.90","2,626.35","19.56","6.33"
"BHARTIARTL","844.00","862.75","841.35","842.80","851.30","8.50","1.01","7,667,340","6,563,626,407.00","888.75","628.75","29.48","6.66"
"NTPC","184.55","187.50","183.75","184.50","186.20","1.70","0.92","15,255,365","2,846,803,662.65","188.70","134.95","36.78","6.72"
"HCLTECH","1,161.90","1,170.55","1,151.00","1,163.40","1,168.00","4.60","0.40","1,699,790","1,974,578,051.40","1,175.70","877.35","19.96","4.78"
"HDFC","2,701.15","2,742.70","2,700.55","2,715.90","2,725.50","9.60","0.35","3,089,041","8,426,440,491.85","2,867.00","2,133.10","25.83","1.92"
"BAJAJ-AUTO","4,613.10","4,655.00","4,605.40","4,612.10","4,620.00","7.90","0.17","348,409","1,611,806,231.71","4,829.90","3,461.25","22.14","2.32"
"TATACONSUM","842.00","846.20","831.65","841.90","842.70","0.80","0.10","806,171","677,925,317.32","877.20","686.60","17.04","9.04"
"NESTLEIND","22,532.90","22,619.95","22,453.65","22,532.90","22,550.00","17.10","0.08","43,515","980,151,876.90","23,175.25","16,585.55","32.75","5.41"
"SUNPHARMA","994.00","995.95","977.30","990.30","990.15","-0.15","-0.02","1,218,237","1,202,680,113.51","1,072.15","803.25","20.19","4.13"
"HDFCBANK","1,637.55","1,659.90","1,634.05","1,643.60","1,642.90","-0.70","-0.04","10,669,609","17,599,306,653.32","1,734.45","1,318.50","23.09","1.71"
"BRITANNIA","4,972.05","4,986.95","4,945.30","4,987.05","4,979.80","-7.25","-0.15","191,942","953,143,664.18","5,085.25","3,360.00","45.71","9.98"
"ICICIBANK","926.05","931.90","919.00","925.75","923.90","-1.85","-0.20","8,767,733","8,104,980,062.53","958.85","685.10","32.09","-1.82"
"HINDUNILVR","2,651.30","2,660.55","2,627.45","2,654.35","2,647.00","-7.35","-0.28","991,214","2,616,517,507.94","2,741.60","2,186.05","17.27","1.02"
"M&M","1,376.90","1,379.60","1,368.50","1,378.70","1,374.35","-4.35","-0.32","1,258,590","1,729,717,994.70","1,422.80","972.65","33.62","7.65"
"APOLLOHOSP","5,084.40","5,084.40","5,001.00","5,066.00","5,047.90","-18.10","-0.36","335,552","1,691,010,948.48","5,294.00","3,635.20","31.03","11.22"
"TECHM","1,114.00","1,118.00","1,094.05","1,119.05","1,115.00","-4.05","-0.36","3,492,348","3,879,754,163.64","1,165.00","965.05","12.55","1.52"
"BAJAJFINSV","1,507.50","1,519.70","1,483.95","1,507.65","1,501.75","-5.90","-0.39","1,237,464","1,859,363,907.84","1,844.00","1,072.72","-87.00","5.29"
"COALINDIA","227.10","227.55","224.80","226.95","226.05","-0.90","-0.40","3,881,707","877,032,879.58","263.40","174.80","27.52","-6.27"
"KOTAKBANK","1,833.00","1,845.55","1,823.90","1,836.10","1,826.40","-9.70","-0.53","2,584,063","4,742,479,142.64","2,064.40","1,631.00","8.58","-4.28"
"ITC","447.50","447.65","442.70","447.65","445.10","-2.55","-0.57","6,090,901","2,708,806,401.73","455.90","262.40","67.51","2.60"
"BAJFINANCE","7,020.95","7,055.00","6,956.10","7,030.00","6,989.00","-41.00","-0.58","815,226","5,706,402,650.28","7,778.00","5,335.05","28.29","3.00"
"WIPRO","382.30","383.00","378.10","382.30","379.95","-2.35","-0.61","3,235,203","1,231,059,445.56","444.90","352.00","-9.33","-4.94"
"RELIANCE","2,528.90","2,533.40","2,512.00","2,535.50","2,517.80","-17.70","-0.70","3,059,084","7,713,633,260.20","2,755.00","2,180.00","2.02","3.05"
"TCS","3,237.30","3,249.40","3,209.15","3,238.50","3,213.90","-24.60","-0.76","1,119,505","3,606,171,896.10","3,575.00","2,926.10","-2.79","-2.63"
"CIPLA","999.95","999.95","985.65","998.30","990.30","-8.00","-0.80","1,776,614","1,760,873,199.96","1,185.25","852.00","6.01","5.48"
"EICHERMOT","3,564.70","3,564.70","3,509.80","3,558.60","3,529.20","-29.40","-0.83","281,640","996,631,018.80","3,889.65","2,642.10","25.55","-1.99"
"MARUTI","9,420.00","9,427.00","9,305.00","9,403.05","9,325.00","-78.05","-0.83","309,138","2,890,996,748.40","9,800.00","7,716.60","12.77","0.61"
"AXISBANK","960.00","965.50","954.55","966.60","958.55","-8.05","-0.83","6,188,008","5,934,918,472.80","989.70","618.25","52.28","4.44"
"SBILIFE","1,271.20","1,274.90","1,260.50","1,276.50","1,264.95","-11.55","-0.90","1,076,729","1,364,980,120.59","1,340.35","1,051.55","17.59","7.43"
"LT","2,418.95","2,427.00","2,383.25","2,416.25","2,392.90","-23.35","-0.97","1,212,955","2,914,003,092.00","2,427.00","1,468.00","59.91","9.35"
"JSWSTEEL","750.00","758.70","743.85","752.35","745.00","-7.35","-0.98","1,704,679","1,277,503,489.39","786.50","541.00","33.55","7.26"
"UPL","674.75","675.75","665.50","674.40","667.00","-7.40","-1.10","1,884,124","1,259,461,529.04","807.00","607.50","5.31","-2.26"
"ULTRACEMCO","8,163.20","8,165.05","8,060.00","8,162.75","8,068.60","-94.15","-1.15","198,255","1,606,474,142.85","8,432.15","5,320.00","49.35","5.57"
"INFY","1,276.45","1,279.35","1,263.35","1,281.55","1,265.70","-15.85","-1.24","7,239,467","9,194,629,852.69","1,672.60","1,185.30","-12.91","-2.59"
"TITAN","2,972.50","2,981.00","2,932.00","2,970.25","2,933.05","-37.20","-1.25","869,340","2,556,068,241.60","3,024.40","1,825.05","43.98","8.57"
"HEROMOTOCO","2,825.25","2,839.75","2,765.00","2,825.05","2,787.85","-37.20","-1.32","381,689","1,070,110,914.18","3,026.00","2,246.00","3.83","1.38"
"SBIN","562.00","562.10","553.80","562.95","555.45","-7.50","-1.33","12,215,712","6,802,685,698.56","629.55","444.65","22.86","-4.82"
"POWERGRID","253.60","254.65","249.55","253.55","250.00","-3.55","-1.40","4,195,045","1,051,320,227.45","259.05","186.35","19.92","6.06"
"HDFCLIFE","642.45","643.00","623.80","639.00","629.80","-9.20","-1.44","4,159,293","2,617,983,792.99","659.95","457.80","12.33","10.76"
"TATAMOTORS","570.00","571.15","557.70","569.35","560.45","-8.90","-1.56","9,362,695","5,253,033,656.70","585.90","375.20","37.44","7.58"
"ONGC","159.00","159.00","155.40","158.95","156.45","-2.50","-1.57","8,722,650","1,369,456,050.00","169.00","119.85","16.39","-5.62"
"TATASTEEL","110.50","110.75","109.20","111.10","109.35","-1.75","-1.58","22,190,233","2,440,038,020.68","124.30","82.70","-86.97","4.18"
"GRASIM","1,749.95","1,749.95","1,711.20","1,750.30","1,715.25","-35.05","-2.00","342,149","590,607,339.33","1,839.50","1,299.10","30.40","0.93"
"DIVISLAB","3,527.00","3,537.85","3,450.10","3,543.85","3,469.00","-74.85","-2.11","455,679","1,594,762,580.25","3,973.90","2,730.00","-5.55","2.36"
"HINDALCO","416.00","416.95","407.45","420.05","407.75","-12.30","-2.93","5,403,772","2,220,626,065.68","504.00","311.10","28.62","0.39"
"BPCL","370.20","371.00","358.30","373.40","360.50","-12.90","-3.45","5,467,448","1,981,676,527.60","380.45","288.05","16.79","-1.02"
"ADANIPORTS","741.00","741.00","703.00","745.60","712.50","-33.10","-4.44","15,398,550","11,044,302,016.50","987.85","395.10","5.78","-0.55"
"ADANIENT","2,392.30","2,392.30","2,163.30","2,397.25","2,229.00","-168.25","-7.02","15,213,238","34,163,455,782.32","4,190.00","1,017.45","5.84","-9.78"
